步骤,公式,搬运周期,CUBE周期,VECTOR周期,其他周期,总周期,事件数,搬运事件,CUBE事件,VECTOR事件
搬运(Load/Store),A/B/X 与外存交换,258546,0,0,0,258546,4608,4608,0,0
Gram矩阵构建,A=H^H H,0,3360,0,0,3360,96,0,96,0
对角正则,A\leftarrow A+\lambda I,0,0,96,0,96,96,0,0,96
POTRF对角开方,L_{jj}=\operatorname{chol}(\tilde A_{jj}),0,0,3072,0,3072,768,0,0,768
TRSM列缩放,L_{ij}=(\cdots)L_{jj}^{-H},0,0,10752,0,10752,2688,0,0,2688
Schur/RK更新,A_{ik}\leftarrow A_{ik}-L_{ij}L_{kj}^H,0,258048,0,0,258048,8064,0,8064,0
前向对角求逆,Y_{jj}=1/L_{jj},0,0,3072,0,3072,768,0,0,768
前向累乘,Y_{ij}\mathrel{-}=L_{ik}Y_{kj},0,86016,0,0,86016,2688,0,2688,0
前向缩放,Y_{ij}\leftarrow Y_{ij}/L_{ii},0,0,10752,0,10752,2688,0,0,2688
后向组装,A^{-1}=Y^HY,0,3072,0,0,3072,96,0,96,0
同步屏障(Barrier),列/阶段依赖同步,0,0,1824,0,1824,1824,0,0,1824
